Entity Name,Entity ID,Fiscal Year,Secured and Unsecured Property Taxes_Functional Revenues_Taxes,Secured and Unsecured Property Taxes_General Revenues_Taxes,Secured and Unsecured Property Taxes_Total Revenues_Taxes,Supplemental Roll Secured and Unsecured Property Taxes_Functional Revenues_Taxes,Supplemental Roll Secured and Unsecured Property Taxes_General Revenues_Taxes,Supplemental Roll Secured and Unsecured Property Taxes_Total Revenues_Taxes,Property Tax In-Lieu of Vehicle License Fees_Functional Revenues_Taxes,Property Tax In-Lieu of Vehicle License Fees_General Revenues_Taxes,Property Tax In-Lieu of Vehicle License Fees_Total Revenues_Taxes,Voter-Approved Indebtedness Property Taxes_Functional Revenues_Taxes,Voter-Approved Indebtedness Property Taxes_Total Revenues_Taxes,Supplemental Roll Voter-Approved Indebtedness Property Taxes_Functional Revenues_Taxes,Supplemental Roll Voter-Approved Indebtedness Property Taxes_Total Revenues_Taxes,Property Taxes – Prior_Functional Revenues_Taxes,Property Taxes – Prior_General Revenues_Taxes,Property Taxes – Prior_Total Revenues_Taxes,Supplemental Roll Property Taxes – Prior_Functional Revenues_Taxes,Supplemental Roll Property Taxes – Prior_General Revenues_Taxes,Supplemental Roll Property Taxes – Prior_Total Revenues_Taxes,Pass-through Property Taxes (ABX1 26)_Functional Revenues_Taxes,Pass-through Property Taxes (ABX1 26)_General Revenues_Taxes,Pass-through Property Taxes (ABX1 26)_Total Revenues_Taxes,Residual Property Taxes (ABX1 26)_Functional Revenues_Taxes,Residual Property Taxes (ABX1 26)_General Revenues_Taxes,Residual Property Taxes (ABX1 26)_Total Revenues_Taxes,Parcel Tax_Functional Revenues_Taxes,Parcel Tax_General Revenues_Taxes,Parcel Tax_Total Revenues_Taxes,Other Property Taxes_Functional Revenues_Taxes,Other Property Taxes_General Revenues_Taxes,Other Property Taxes_Total Revenues_Taxes,"Interest, Penalties, and Delinquent Taxes_Functional Revenues_Taxes","Interest, Penalties, and Delinquent Taxes_General Revenues_Taxes","Interest, Penalties, and Delinquent Taxes_Total Revenues_Taxes",Sales and Use Taxes_Functional Revenues_Taxes,Sales and Use Taxes_General Revenues_Taxes,Sales and Use Taxes_Total Revenues_Taxes,Transportation Taxes – Transit_Functional Revenues_Taxes,Transportation Taxes – Transit_Total Revenues_Taxes,Transportation Taxes – Nontransit_Functional Revenues_Taxes,Transportation Taxes – Nontransit_Total Revenues_Taxes,Transient Occupancy Taxes_Functional Revenues_Taxes,Transient Occupancy Taxes_General Revenues_Taxes,Transient Occupancy Taxes_Total Revenues_Taxes,Franchises_Functional Revenues_Taxes,Franchises_General Revenues_Taxes,Franchises_Total Revenues_Taxes,Business License Taxes_Functional Revenues_Taxes,Business License Taxes_General Revenues_Taxes,Business License Taxes_Total Revenues_Taxes,Real Property Transfer Taxes_Functional Revenues_Taxes,Real Property Transfer Taxes_General Revenues_Taxes,Real Property Transfer Taxes_Total Revenues_Taxes,Utility Users Taxes_Functional Revenues_Taxes,Utility Users Taxes_General Revenues_Taxes,Utility Users Taxes_Total Revenues_Taxes,Construction Development Taxes_Functional Revenues_Taxes,Construction Development Taxes_General Revenues_Taxes,Construction Development Taxes_Total Revenues_Taxes,Admission Tax_Functional Revenues_Taxes – Other,Admission Tax_General Revenues_Taxes – Other,Admission Tax_Total Revenues_Taxes – Other,Parking Tax_Functional Revenues_Taxes – Other,Parking Tax_Total Revenues_Taxes – Other,Employers Payroll Tax_General Revenues_Taxes – Other,Employers Payroll Tax_Total Revenues_Taxes – Other,Other Taxes – Other (Specify)_Functional Revenues_Taxes – Other,Other Taxes – Other (Specify)_General Revenues_Taxes – Other,Other Taxes – Other (Specify)_Total Revenues_Taxes – Other,Total Taxes_Functional Revenues_,Total Taxes_General Revenues_,Total Taxes_Total Revenues_
Hillsborough,1305,2018,NULL,15210290,15210290,NULL,469814,469814,NULL,1261095,1261095,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2243038,NULL,2243038,NULL,NULL,NULL,NULL,NULL,NULL,NULL,100563,100563,NULL,NULL,604243,604243,NULL,NULL,NULL,NULL,741207,741207,NULL,683726,683726,NULL,380986,380986,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,103310,1798594,1901904,2950591,20646275,23596866
Hollister,1306,2018,NULL,1117112,1117112,NULL,97805,97805,NULL,2872921,2872921,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10467422,10467422,NULL,NULL,NULL,NULL,NULL,307714,307714,NULL,706607,706607,NULL,219865,219865,NULL,268772,268772,NULL,NULL,NULL,NULL,6249991,6249991,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,24784,24784,0,22332993,22332993
Holtville,1307,2018,NULL,341789,341789,NULL,NULL,NULL,NULL,551314,551314,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,477661,477661,NULL,NULL,NULL,NULL,NULL,351,351,NULL,87942,87942,NULL,34211,34211,NULL,8144,8144,NULL,393911,393911,27902,NULL,27902,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,27902,1895323,1923225
Hughson,1308,2018,NULL,319865,319865,NULL,NULL,NULL,NULL,627401,627401,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,948939,948939,NULL,NULL,362204,362204,NULL,NULL,NULL,NULL,101328,101328,NULL,24350,24350,NULL,34787,34787,NULL,NULL,NULL,774,NULL,774,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,362978,2056670,2419648
Huntington Beach,1309,2018,NULL,49294834,49294834,NULL,1463612,1463612,NULL,19955584,19955584,5356732,5356732,NULL,NULL,NULL,290966,290966,NULL,NULL,NULL,NULL,570551,570551,NULL,2427801,2427801,NULL,NULL,NULL,NULL,1000379,1000379,NULL,51410,51410,NULL,29682767,29682767,NULL,NULL,2480100,2480100,NULL,8810218,8810218,NULL,6072882,6072882,NULL,1921924,1921924,NULL,988575,988575,NULL,14013963,14013963,102352,NULL,102352,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,7939184,136545466,144484650
Huntington Park,1310,2018,NULL,925925,925925,NULL,NULL,NULL,NULL,5898414,5898414,3097669,3097669,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-952,-952,NULL,6702629,6702629,3351367,3351367,NULL,NULL,NULL,89968,89968,NULL,840935,840935,NULL,1309496,1309496,NULL,94011,94011,NULL,5456560,5456560,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6449036,21316986,27766022
Huron,1311,2018,NULL,52715,52715,NULL,2016,2016,NULL,588924,588924,NULL,NULL,NULL,NULL,NULL,4148,4148,NULL,145,145,NULL,15129,15129,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,407,407,NULL,533095,533095,NULL,NULL,324252,324252,NULL,3333,3333,NULL,38777,38777,NULL,195421,195421,NULL,853,853,NULL,151155,151155,6107,NULL,6107,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,0,330359,1586118,1916477
Imperial,1312,2018,NULL,1299923,1299923,NULL,NULL,NULL,NULL,1479054,1479054,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,306292,NULL,306292,NULL,NULL,NULL,NULL,NULL,NULL,69782,3233977,3303759,NULL,NULL,329347,329347,NULL,19999,19999,NULL,267775,267775,NULL,58142,58142,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20741,20741,705421,6379611,7085032
Imperial Beach,1313,2018,NULL,1712000,1712000,NULL,NULL,NULL,NULL,2862839,2862839,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1325246,1325246,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,998419,998419,NULL,NULL,910022,910022,NULL,752170,752170,NULL,1928300,1928300,NULL,400562,400562,NULL,147546,147546,NULL,NULL,NULL,169100,NULL,169100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1079122,10127082,11206204
Indian Wells,1314,2018,NULL,2559302,2559302,NULL,48563,48563,NULL,417087,417087,NULL,NULL,NULL,NULL,NULL,44541,44541,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,13143,13143,NULL,1111159,1111159,NULL,NULL,253043,253043,NULL,7942995,7942995,NULL,929551,929551,NULL,140017,140017,NULL,230075,230075,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3334227,3334227,NULL,NULL,NULL,NULL,3111773,NULL,3111773,3364816,16770660,20135476
Indio,1315,2018,NULL,6653155,6653155,NULL,56609,56609,NULL,8951786,8951786,NULL,NULL,NULL,NULL,NULL,14746,14746,NULL,42956,42956,NULL,907393,907393,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,65368,65368,468757,11457788,11926545,NULL,NULL,2316583,2316583,NULL,6760340,6760340,NULL,2466269,2466269,NULL,621513,621513,NULL,412394,412394,NULL,8512701,8512701,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,10618620,10618620,2785340,57541638,60326978
Industry,1316,2018,NULL,2328590,2328590,NULL,0,NULL,NULL,237,237,13361313,13361313,NULL,NULL,NULL,-1922,-1922,NULL,1570,1570,NULL,558822,558822,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20766,20766,NULL,36040810,36040810,611112,611112,NULL,NULL,NULL,981291,981291,NULL,1704911,1704911,NULL,NULL,NULL,NULL,579220,579220,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,51295478,NULL,51295478,65267903,42214295,107482198
Inglewood,1317,2018,NULL,8573823,8573823,NULL,294928,294928,NULL,11610179,11610179,11187404,11187404,NULL,NULL,NULL,292996,292996,NULL,12165,12165,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,19835529,19835529,2945767,2945767,5149722,5149722,NULL,5563920,5563920,NULL,2313723,2313723,NULL,6226514,6226514,NULL,309760,309760,NULL,14723580,14723580,NULL,14143872,14143872,NULL,912592,912592,1137440,1137440,NULL,NULL,NULL,16589646,16589646,20420333,101403227,121823560
Ione,1318,2018,NULL,681720,681720,NULL,NULL,NULL,NULL,847431,847431,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,180911,180911,NULL,NULL,NULL,NULL,NULL,1269,1269,NULL,95591,95591,NULL,11788,11788,NULL,35271,35271,NULL,NULL,NULL,NULL,158813,158813,NULL,NULL,NULL,NULL,NULL,NULL,NULL,397900,0,397900,397900,2012794,2410694
Irvine,1319,2018,NULL,42262900,42262900,NULL,666394,666394,NULL,24790014,24790014,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,177955,177955,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,63539410,63539410,170739,170739,4689142,4689142,NULL,14883338,14883338,NULL,9481046,9481046,NULL,NULL,NULL,NULL,4631011,4631011,NULL,4761983,4761983,38944968,NULL,38944968,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3720835,NULL,3720835,47525684,165194051,212719735
Irwindale,1320,2018,NULL,500639,500639,NULL,6647,6647,NULL,137998,137998,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1569759,1569759,NULL,NULL,NULL,NULL,4242634,4242634,NULL,NULL,24860,24860,NULL,NULL,NULL,NULL,1410694,1410694,NULL,1181364,1181364,NULL,55473,55473,NULL,4043877,4043877,NULL,NULL,NULL,NULL,29786,29786,NULL,NULL,NULL,NULL,NULL,7417255,7417255,24860,20596126,20620986
Isleton,1321,2018,NULL,74119,74119,NULL,1539,1539,NULL,68414,68414,NULL,NULL,NULL,NULL,NULL,77,77,NULL,NULL,NULL,NULL,NULL,NULL,NULL,71275,71275,NULL,NULL,NULL,NULL,NULL,NULL,NULL,785,785,NULL,108185,108185,NULL,NULL,499483,499483,NULL,195,195,NULL,26543,26543,NULL,16291,16291,NULL,8695,8695,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,76003,57290,133293,575486,433408,1008894
Jackson,1322,2018,NULL,786242,786242,NULL,15198,15198,NULL,371115,371115,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,126,126,NULL,917117,917117,NULL,NULL,38919,38919,NULL,469780,469780,NULL,163572,163572,NULL,57181,57181,NULL,23075,23075,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,38919,2803406,2842325
Jurupa Valley,11163,2018,NULL,5011103,5011103,NULL,129595,129595,NULL,6775334,6775334,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1316006,15848,1331854,NULL,NULL,NULL,NULL,11273083,11273083,NULL,NULL,2517367,2517367,NULL,283529,283529,NULL,2790268,2790268,NULL,79050,79050,NULL,484192,484192,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,3833373,26842002,30675375
Kerman,1323,2018,NULL,727576,727576,NULL,NULL,NULL,NULL,1246268,1246268,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1877645,1877645,125340,125340,814107,814107,NULL,NULL,NULL,NULL,124010,124010,NULL,62422,62422,NULL,35751,35751,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,939447,4073672,5013119
King City,1324,2018,NULL,851713,851713,NULL,NULL,NULL,NULL,902368,902368,NULL,NULL,NULL,NULL,NULL,10117,10117,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2436779,2436779,NULL,NULL,434959,434959,NULL,480855,480855,NULL,668038,668038,NULL,95814,95814,NULL,34942,34942,NULL,272525,272525,239809,NULL,239809,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,158337,158337,674768,5911488,6586256
Kingsburg,1325,2018,NULL,1209303,1209303,NULL,NULL,NULL,NULL,1081176,1081176,NULL,NULL,NULL,NULL,NULL,4012,4012,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,982698,982698,NULL,NULL,790499,790499,NULL,361459,361459,NULL,483749,483749,NULL,178793,178793,NULL,35867,35867,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,790499,4337057,5127556
La Canada Flintridge,1326,2018,NULL,5241924,5241924,NULL,NULL,NULL,NULL,2494401,2494401,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,272598,NULL,272598,NULL,2657711,2657711,1361233,1361233,13656,13656,NULL,NULL,NULL,NULL,622342,622342,NULL,208738,208738,NULL,317738,317738,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5500,NULL,5500,1652987,11542854,13195841
La Habra,1327,2018,NULL,9772593,9772593,NULL,306638,306638,NULL,6047829,6047829,NULL,NULL,NULL,NULL,NULL,59641,59641,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,100579,100579,NULL,8012,8012,NULL,15616110,15616110,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3623170,3623170,NULL,350659,350659,NULL,243361,243361,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,36128592,36128592
La Habra Heights,1328,2018,NULL,1455906,1455906,NULL,NULL,NULL,NULL,582591,582591,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,37075,37075,NULL,NULL,187118,187118,NULL,NULL,NULL,NULL,163480,163480,NULL,30350,30350,NULL,41599,41599,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,127618,127618,187118,2438619,2625737
La Mesa,1329,2018,NULL,7185498,7185498,NULL,NULL,NULL,NULL,5805408,5805408,1850397,1850397,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,345389,345389,NULL,54226,54226,NULL,21866769,21866769,NULL,NULL,862690,862690,NULL,1275621,1275621,NULL,2150426,2150426,NULL,392485,392485,NULL,335145,335145,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2713087,39410967,42124054
La Mirada,1330,2018,NULL,6757575,6757575,NULL,NULL,NULL,NULL,4836980,4836980,NULL,NULL,NULL,NULL,NULL,-11787,-11787,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2790403,15038776,17829179,NULL,NULL,NULL,NULL,NULL,1408898,1408898,NULL,3025456,3025456,NULL,336664,336664,NULL,238664,238664,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,2790403,31631226,34421629
La Palma,1331,2018,NULL,2118317,2118317,NULL,65466,65466,NULL,1427604,1427604,NULL,NULL,NULL,NULL,NULL,927,927,NULL,NULL,NULL,NULL,NULL,NULL,NULL,147467,147467,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4456802,4456802,NULL,NULL,255116,255116,NULL,391991,391991,NULL,377450,377450,NULL,225565,225565,NULL,107483,107483,NULL,992221,992221,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,255116,10311293,10566409
La Puente,1332,2018,NULL,1441800,1441800,NULL,NULL,NULL,NULL,4478192,4478192,NULL,NULL,NULL,NULL,NULL,21295,21295,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3150107,3150107,755849,755849,1519439,1519439,NULL,238611,238611,NULL,978363,978363,NULL,120357,120357,NULL,86091,86091,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,2275288,10514816,12790104
La Quinta,1333,2018,NULL,6764856,6764856,NULL,NULL,NULL,NULL,3941348,3941348,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1995222,1995222,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,18956985,18956985,NULL,NULL,NULL,NULL,NULL,10633658,10633658,NULL,1821007,1821007,NULL,344344,344344,NULL,718472,718472,NULL,NULL,NULL,1341798,NULL,1341798,NULL,NULL,NULL,NULL,NULL,NULL,NULL,21999,NULL,21999,1363797,45175892,46539689
La Verne,1334,2018,NULL,5117172,5117172,NULL,159573,159573,NULL,3281759,3281759,NULL,NULL,NULL,NULL,NULL,5562,5562,NULL,NULL,NULL,NULL,418093,418093,NULL,2121222,2121222,NULL,NULL,NULL,NULL,NULL,NULL,NULL,14991,14991,NULL,4822506,4822506,1711740,1711740,NULL,NULL,NULL,NULL,NULL,NULL,607168,607168,NULL,469211,469211,NULL,144371,144371,NULL,3028260,3028260,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1711740,20189888,21901628
Lafayette,1335,2018,NULL,5023200,5023200,NULL,NULL,NULL,NULL,2863491,2863491,550226,550226,17723,17723,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3026925,3026925,NULL,NULL,NULL,NULL,NULL,732816,732816,NULL,2382933,2382933,NULL,NULL,NULL,NULL,333597,333597,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,532972,532972,567949,14895934,15463883
Laguna Beach,1336,2018,NULL,31780350,31780350,NULL,NULL,NULL,NULL,2979463,2979463,NULL,NULL,NULL,NULL,NULL,193803,193803,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4208,NULL,4208,NULL,94316,94316,NULL,5691271,5691271,NULL,NULL,NULL,NULL,NULL,14719752,14719752,NULL,1212200,1212200,NULL,987173,987173,NULL,762239,762239,NULL,NULL,NULL,30972,280795,311767,NULL,NULL,NULL,NULL,NULL,NULL,NULL,147903,NULL,147903,183083,58701362,58884445
Laguna Hills,1337,2018,NULL,7019458,7019458,NULL,212477,212477,NULL,2875067,2875067,NULL,NULL,NULL,NULL,NULL,42550,42550,NULL,4668,4668,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7765,7765,NULL,18071,18071,NULL,5755661,5755661,NULL,NULL,694070,694070,NULL,1381719,1381719,NULL,1248488,1248488,NULL,NULL,NULL,NULL,261744,261744,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,41059,41059,694070,18868727,19562797
Laguna Niguel,1338,2018,NULL,15054646,15054646,NULL,464864,464864,NULL,6043569,6043569,NULL,NULL,NULL,NULL,NULL,91802,91802,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,178285,178285,NULL,48731,48731,NULL,11223516,11223516,75121,75121,1110117,1110117,NULL,47926,47926,NULL,2470038,2470038,NULL,NULL,NULL,NULL,653685,653685,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1185238,36277062,37462300
Laguna Woods,1339,2018,NULL,252015,252015,NULL,7842,7842,NULL,2194558,2194558,NULL,NULL,NULL,NULL,NULL,1455,1455,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1300,1300,NULL,609,609,NULL,914550,914550,NULL,NULL,43641,43641,NULL,484470,484470,NULL,672265,672265,NULL,NULL,NULL,NULL,114180,114180,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,934298,NULL,934298,977939,4643244,5621183
Lake Elsinore,1340,2018,NULL,2665332,2665332,NULL,NULL,NULL,NULL,4843450,4843450,NULL,NULL,NULL,NULL,NULL,67441,67441,NULL,NULL,NULL,616669,NULL,616669,NULL,NULL,NULL,NULL,NULL,NULL,NULL,18462,18462,NULL,923,923,NULL,9691050,9691050,NULL,NULL,1351409,1351409,NULL,560150,560150,NULL,2482093,2482093,NULL,380385,380385,NULL,425855,425855,NULL,NULL,NULL,NULL,662985,662985,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2729279,NULL,2729279,4697357,21798126,26495483
Lake Forest,1341,2018,NULL,9605342,9605342,NULL,282626,282626,NULL,7590599,7590599,NULL,NULL,NULL,NULL,NULL,53991,53991,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,46421,46421,NULL,15583,15583,NULL,16051061,16051061,NULL,NULL,1361772,1361772,NULL,3809392,3809392,NULL,2487364,2487364,NULL,NULL,NULL,NULL,1083029,1083029,NULL,NULL,NULL,NULL,12748718,12748718,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,61471,61471,1361772,53835597,55197369
Lakeport,1342,2018,NULL,441967,441967,NULL,8507,8507,NULL,412059,412059,NULL,NULL,NULL,NULL,NULL,368,368,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,35251,35251,NULL,NULL,NULL,NULL,3383579,3383579,NULL,NULL,NULL,NULL,NULL,62124,62124,NULL,380436,380436,NULL,85817,85817,NULL,27620,27620,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,0,4837728,4837728
Lakewood,1343,2018,NULL,4978241,4978241,NULL,181467,181467,NULL,8701395,8701395,NULL,NULL,NULL,NULL,NULL,-2392,-2392,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-87942,-87942,NULL,15610,15610,NULL,14303519,14303519,1212158,1212158,1463740,1463740,NULL,63373,63373,NULL,1598487,1598487,7590,610335,617925,NULL,332418,332418,NULL,3163738,3163738,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2683488,33858249,36541737
Lancaster,1344,2018,NULL,3550198,3550198,NULL,95676,95676,NULL,13862855,13862855,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1034426,1034426,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1856315,1856315,NULL,NULL,NULL,NULL,21359336,21359336,13674981,13674981,5112060,5112060,NULL,2202452,2202452,NULL,5032176,5032176,NULL,851567,851567,NULL,654645,654645,NULL,NULL,NULL,6450993,NULL,6450993,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,201423,201423,25238034,50701069,75939103
Larkspur,1345,2018,NULL,8123802,8123802,NULL,351572,351572,NULL,1352240,1352240,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2672724,2672724,NULL,NULL,1516181,1516181,NULL,1038955,1038955,NULL,1073194,1073194,NULL,375871,375871,NULL,164066,164066,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,208083,1077394,1285477,1724264,16229818,17954082
