csvData
rank,name,pop2022,pop2010,growth,density,aland_sqmi
479,Shasta Lake,10413,10164,0.0245,953,10.9230
480,Del Aire,10406,10001,0.0405,10283,1.0120
481,Farmersville,10359,10588,-0.0216,4625,2.2400
482,Exeter,10319,10334,-0.0015,4190,2.4630
483,Malibu,10256,12645,-0.1889,517,19.8470
484,Valley Center,10249,9277,0.1048,373,27.4690
485,Citrus,10119,10866,-0.0687,11408,0.8870
486,Soquel,10048,9644,0.0419,2185,4.5980
487,Capitola,9942,9918,0.0024,6241,1.5930
488,Spring Valley Lake,9874,8220,0.2012,3265,3.0240
489,Rodeo,9847,8679,0.1346,2631,3.7420
490,Charter Oak,9825,9310,0.0553,10587,0.9280
491,Orange Cove,9763,9078,0.0755,5448,1.7920
492,Golden Hills,9762,8656,0.1278,797,12.2540
493,Mentone,9725,8720,0.1153,1591,6.1110
494,Blackhawk,9693,9354,0.0362,1672,5.7960
495,Oak Hills,9564,8879,0.0771,393,24.3500
496,West Athens,9525,8729,0.0912,7129,1.3360
497,Good Hope,9524,9192,0.0361,848,11.2340
498,Waterford,9252,8456,0.0941,3924,2.3580
499,Live Oak,9248,8392,0.1020,2963,3.1210
500,Tiburon,9182,8962,0.0245,2050,4.4800
